sample_id,sample_type,source_event_id,source_file,sample_file,event_time_in_sample_s,time_scale,speed_scale,noise_gain,dropout_samples,is_augmented,target_wheels,scenario,scenario_zh
R024,normal,R024,20260715_2_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260715_2_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,HillRoad,HillRoad
R025,normal,R025,20260715_3_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260715_3_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,HillRoad,HillRoad
R026,normal,R026,20260715_4_P182_0_120_4W250_robust_hillway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260715_4_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,HillRoad,HillRoad
R027,normal,R027,20260715_5_P182_0_180_4W250_robust_highway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260715_5_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,HillRoad,HillRoad
R028,normal,R028,20260715_6_P182_0_180_4W250_robust_highway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260715_6_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,HillRoad,HillRoad
R029,normal,R029,20260715_7_P182_0_180_4W250_robust_highway__Sunny,/home/zich/haar/robust_data_results/cases/HillRoad/20260715_7_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,HillRoad,HillRoad
R030,normal,R030,20260707_1_P182_Load500kg_0_120_4W260_CityRoad_Sunny,/home/zich/haar/robust_data_results/cases/Load/20260707_1_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,Load,Load
R031,normal,R031,20260707_2_P182_Load500kg_55kph_4W260_SongzeGaojia_Sunny,/home/zich/haar/robust_data_results/cases/Load/20260707_2_P182_Load500kg_55kph_4W260_SongzeGaojia_Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,Load,Load
R032,normal,R032,20260707_3_P182_Load500kg_75kph_4W260_SongzeGaojia_Sunny,/home/zich/haar/robust_data_results/cases/Load/20260707_3_P182_Load500kg_75kph_4W260_SongzeGaojia_Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,Load,Load
R033,normal,R033,20260707_4_P182_Load500kg_0_120_4W260_CityRoad_Sunny,/home/zich/haar/robust_data_results/cases/Load/20260707_4_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,Load,Load
R034,normal,R034,20260707_5_P182_Load500kg_0_120_4W260_CityRoad_Sunny,/home/zich/haar/robust_data_results/cases/Load/20260707_5_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,Load,Load
R035,normal,R035,20260707_6_P182_Load500kg_0_120_4W260_CityRoad_Sunny,/home/zich/haar/robust_data_results/cases/Load/20260707_6_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,Load,Load
R036,normal,R036,20260707_7_P182_Load500kg_0_120_4W260_CityRoad_Sunny,/home/zich/haar/robust_data_results/cases/Load/20260707_7_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,Load,Load
R037,normal,R037,20260707_8_P182_Load500kg_0_120_4W260_CityRoad_Sunny,/home/zich/haar/robust_data_results/cases/Load/20260707_8_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,,1.0,1.0,0.0,0,0,,Load,Load
